,speed,tracknumber
0,121.92931852451375,3.0
1,98.79266415690398,3.0
2,100.9967016802122,3.0
3,90.058344023385,3.0
4,78.02765044360828,3.0
5,124.6610882745831,6.0
6,111.57433933323627,6.0
7,102.72666585694623,6.0
8,102.2435342839131,6.0
9,86.01396692399899,6.0
10,77.98765379857063,6.0
11,96.49978689288271,17.0
12,90.63761880224658,17.0
13,91.96433197761941,17.0
14,83.4543967420401,17.0
15,79.15834073790222,17.0
16,72.2985908666475,17.0
17,63.04749946079231,17.0
18,116.0073494078676,24.0
19,102.0136974033651,24.0
20,99.71372420020579,24.0
21,89.82087376338323,24.0
22,85.96848393433571,24.0
23,76.84276595239089,24.0
24,68.63389636678279,24.0
25,127.2384150535989,29.0
26,119.72308146266485,29.0
27,110.70399650767024,29.0
28,104.48453521716405,29.0
29,93.05025913340825,29.0
30,81.43506554911657,29.0
